num	size
1	141
2	170.8
3	165
4	167.2
5	176.8
6	149
7	154
8	166
9	153
10	165
11	164.2
12	176.8
13	168.5
14	155.5
15	153.5
16	154.8
17	177.3
18	213
19	206
20	156.2
21	148.3
22	169.3
23	173
24	172.1
25	156.5
26	234.9
27	177.4
28	228.6
29	160.8
30	180.9
31	170.3
32	177.2
33	156.6
34	220.4
35	168.1
36	225.6
37	202.8
38	174
39	170
40	177.4
41	160.4
42	175.7
43	159.6
44	161.3
45	145.1
46	173.2
47	163.1
48	177.1
49	155.4
50	172.4
51	176.9
52	148.3
53	169.5
54	178.9
55	205.8
56	162.8
57	159
58	172
59	234.4
60	163.6
61	174.3
62	178.7
63	154.4
64	151
65	141.1
66	171.9
67	162.2
68	162.8
69	168.5
70	196.2
71	234.6
72	148
73	163.8
74	177
75	164.3
76	182.9
77	152
78	146
79	225.7
80	169.5
81	160.2
82	156.7
83	168.1
84	168.2
85	157.6
86	174.7
87	130
88	161.2
89	158.5
90	222.2
91	151.9
92	161.8
93	176.4
94	166.4
95	168.5
96	167.9
97	159
98	165.9
99	174.6
100	232.8
101	290.6
102	162
103	215.9
104	208.9
105	170.4
106	206.2
107	219.3
108	236.4
109	229.1
110	244
111	179.4
112	158.1
113	244.8
114	226.7
115	237.2
116	170.8
117	183.7
118	226
119	174.4
120	155.4
121	161.6
122	166.1
123	215.1
124	230.7
125	171.3
126	178.3
127	228.1
128	156.2
129	177.2
130	226
131	174.8
132	179.6
133	169.9
134	245.1
135	188
136	208.7
137	166.9
138	172
139	170.3
140	156.6
141	181.1
142	166.2
143	160
144	184.1
145	217.3
146	166.9
147	178.8
148	171.2
149	225.2
150	179.6
151	172.3
152	162.5
153	173.2
154	171.1
155	213.8
156	186.8
157	170.9
158	192.7
159	188.4
160	169.6
161	161.4
162	181.6
163	215.2
164	156.9
165	151.4
166	225.9
167	177.5
168	152.9
169	161.6
170	240.3
171	168.6
172	177.2
173	173.5
174	177.5
175	161.6
176	152.9
177	178.3
178	152
179	143.6
180	207.8
181	181.3
182	225.3
183	225.5
184	224.9
185	230.4
186	165.1
187	161
188	219.4
189	171.8
190	161
191	167.5
192	216.9
193	209.4
194	144.2
195	159
196	231.9
197	230
198	185.5
199	198.4
200	188.1
201	181
202	218.4
203	219.7
204	217.3
205	158.6
206	234
207	196.3
208	241.4
209	182.6
210	156.6
211	218
212	166.4
213	219.9
214	227.1
215	184.5
216	160.3
217	167.3
218	177.5
219	229.2
220	174.8
221	174
222	226.8
223	158.6
224	243.7
225	205.1
226	224.3
227	167.1
228	165.9
229	227.4
230	167.3
231	162.7
232	245.1
233	166.3
234	157.8
235	150.4
236	226
237	162.3
238	191.4
239	165.7
240	223
241	167.5
242	165.3
243	155.7
244	181.3
245	171.3
246	169.2
247	192
248	162.3
249	242.1
250	161.2
251	183.9
252	175.6
253	208.4
254	172.6
255	154.4
256	175
257	140.8
258	152
259	234
260	177.5
261	205.7
262	187.3
263	205.6
264	164.2
265	173.3
266	228.9
267	218.2
268	236.8
269	183.8
270	162.4
271	139.1
272	166.7
273	165.2
274	161.1
275	225.5
276	163
277	179.9
278	170.3
279	144.8
280	158.8
281	182.8
282	147.6
283	163.1
284	216.8
285	165.4
286	176
287	150.2
288	173.6
289	173.2
290	165.9
291	159.8
292	173.2
293	208.2
294	184.4
295	162
296	220.3
297	227.6
298	225
299	223.6
300	238.1
